,text,sentiment
8764,audience for gopdebates sounds like a mob ready to killpeopleandbreakthings ,Negative
8765,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8766,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8767,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8768,rossdaniel7 dwstweets on kelly file seemed like she was mentally unstable typical socialist democrat gopdebates ,Negative
8769,monaeltahawy twitterland has god spoken to you about the gopdebates what did she say ,Negative
8770,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8771,jamiusa if we dont hold everyone to the same standards during the gopdebates what are they woh ,Negative
8772,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8773,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8774,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8775,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8776,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8777,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8778,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8779,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8780,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8781,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8782,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8783,retweeted cdm rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8784,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8785,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8786,only thing trumps brings is what we never get from a politician he honestly gives zero fucks what you think about his ideas gopdebates ,Negative
8787,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8788,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8789,rwsurfergirl so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8790,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8791,so megynkelly posed for adult picturesshould we bring that up gopdebate gopdebates ,Negative
8793,gopdebates as larry wilmore thenightlyshow says the unblackening of america continues sorry carson doesnt have a chance ,Negative
8796,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8799,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8801,what hashtag do i use to vote for all these candidates to receive injuries and illnesses and descend into povey gopdebates ,Negative
8802,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8803,dems have gone from denying the fact they are socialist to openly suppoing one gopdebates tcot rednationrising gop berniesanders ,Negative
8804,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8805,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8806,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8807,gopdebates winners imo marco rubio rand paul john kasich and carly fiorina ,Positive
8808,donniewahlberg i am looking more forward to the snl spoof of the gopdebates and democraticdebates when does that air again ,Positive
8810,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8812,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8813,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8814,realdonaldtrump won foxnews megynkelly chris goofy glasses wallace lost favor gopdebates ,Negative
8815,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8816,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8817,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8818,desdemona4u it was unfathomable that megynkelly would ask wassermanschultz to do a postmoem on the gopdebates surreal ,Negative
8821,iangarytweets this is real life these people are running for the most powerful office in the world gopdebates ,Negative
8822,glenncooknv my reaction to tonights debates the beginning of the end for the donald gopdebates lvrj ,Negative
8823,jamiaw the purpose of the military is to kill people and break thingsmike huckabee gopdebates kkkorgop ,Negative
8824,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8826,b140tweet rip annrichards she has it right we needed her for president gopdebates stoprush ,Positive
8827,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
8828,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8829,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
8830,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8831,joeykramer aerosmith headed out to the gopdebates in cleveland should be interesting motleycrue ,Positive
8832,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8833,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8834,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8835,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
8836,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8837,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8839,we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8840,fox news didnt ask one of the gopdebates candidates what they planned to do about mall walkers ,Negative
8841,my reaction to tonights debates the beginning of the end for the donald gopdebates lvrj ,Negative
8842,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8843,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8844,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8845,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8846,so many mixed feelings crying over jon stewa and lmao over the gopdebates thinking about the meaning of life ,Negative
8847,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8848,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
8849,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8851,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8852,desdemona4u it was unfathomable that megynkelly would ask wassermanschultz to do a postmoem on the gopdebates surreal ,Negative
8853,joeykramer aerosmith headed out to the gopdebates in cleveland should be interesting motleycrue ,Positive
8854,it was unfathomable that megynkelly would ask wassermanschultz to do a postmoem on the gopdebates surreal ,Negative
8855,salmasekela that moment you realize youre watching fox news and your not in handcuffs gopdebates ,Negative
8856,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
8857,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8858,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8859,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8862,loved watching the gopdebates tonight lot of good stuff amp some not so good stuff really enjoyed watching it with my daughter amp discussing ,Positive
8863,cruz is being completely ignored gopdebates ,Negative
8864,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8866,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8867,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8868,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8869,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8871,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8872,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8873,leasavoy overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Negative
8874,bettyfckinwhite so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8875,izacwright this happened not a single mention of votingrights on vra50 in tonights gopdebates ,Negative
8876,cant wait to see the snl skits relating to the gopdebates or candidates make sure you mention god every other sentence ,Negative
8877,so many great jokes on twitter tonight about the gopdebates but not as many as there were on stage ,Negative
8878,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8879,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8881,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8882,too many clowns not enough commercials gopdebates ,Negative
8883,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8884,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8885,reagan was a democrat so if trump changed from a democrat to a republican then im okay with that gopdebates ,Positive
8886,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8887,foxnews didnt ask good questions gopdebates foxdebate ,Negative
8888,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8889,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8890,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8891,thatchrisgore ted cruzs mutant superpower is fearmongering tedcruz tedcruz2016 gopdebate gopdebates ,Negative
8892,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8893,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8894,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8895,overall view on gopdebates i stayed home from work for this my candidate choice has not changed 1 iota cruzcrew ,Positive
8897,enjoyed the gopdebates and am looking forward to the democraticdebates next j8p ,Positive
8898,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8899,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
8900,monaeltahawy seriously gop voters think god talks to presidential candidates christianbrotherhood gopdebates ,Negative
8901,rwsurfergirl jeb bush reminds me of elevator music you hear it but you dont listen gopdebate gopdebates ,Negative
8902,samstwitch wow everybodys tweeting about foxnews megynkellys bad treatment of realdonaldtrump and gopdebates agreed ,Negative
8903,bryanlvt i want trump to run as an independent i want to see an army of pissed off women give him some much deserved humility gopdeb ,Negative
8904,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8905,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8908,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8910,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8911,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8912,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
8913,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
8914,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8915,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
8916,walkers main talking point was that he took on 100s of 1000s of union protesters and won waiting to hear how that helped wi gopdebates ,Negative
8917,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8918,rwsurfergirl fox is cherry picking the candidates jeb gets the softball questions gopdebates gopdebates ,Negative
8919,lrihendry tedcruz headed into the presidential debates go ted gopdebates ,Positive
8921,megynkelly you dont speak for me as a woman zero respect for you tonight gopdebates foxnewsdebate ,Negative
8922,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8923,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8924,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
8925,mashuprich who will have the bigger boobs hooterspageant on foxspos1 or gopdebates on fox news ,Negative
8926,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8927,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8928,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
8929,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8931,rubio is by far the best speaker gopdebates ,Positive
8932,rwsurfergirl breaking brian williams just handed chris christie a donut to calm him down gopdebate gopdebates ,Negative
8933,many great businesses use the bankruptcy laws trump did what a lot of businesses have done gopdebates ,Positive
8934,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8935,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8936,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8939,scottaxe gopdebates johnkasich if you look at substance he needs to be in the discussion he has been successful at every turn ,Positive
8940,gopdebates winners candidates paul kasich amp carson politics gopdebate ,Positive
8941,chic4usa aaaand megynfail brings in dnc chair to take down trump thru womens rights my gender once again used as fear tool ugh go ,Negative
8942,davidwross so here i am watching the jerry springer show and suddenly realized its the foxnews gopdebates ,Negative
8943,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8944,disappointed that the two most brilliant didnt get nearly enough talk time gopdebates tedcruz realbencarson ,Negative
8945,pamelageller jim gilmore is clueless on isis its not a state they already rule an area larger than the united kingdom gopdebates ,Negative
8946,seanhannity needs to be a moderator on the next debate gopdebates ,Negative
8947,gopdebates johnkasich if you look at substance he needs to be in the discussion he has been successful at every turn ,Positive
8948,rwsurfergirl after govchristie hugged obama he doesnt deserve to be on the stage tonight gopdebates gopdebates ,Negative
8949,rwsurfergirl why doesnt chris wallace ask the other politicans about their finances and where their money comes from gopdebate ,Negative
8950,supermanhotmale i lived here in florida for 8 years under jeb w bush and i swear no more gopdebates ,Negative
8951,wkdental only kasich came across as a sensible decent and rational human being out of all of them gopdebates ,Positive
8952,annleary my record is clear i hate women who want affordable bih control and std screenings gopdebates ,Negative
8953,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8954,rwsurfergirl jeb bush reminds me of elevator music you hear it but you dont listen gopdebate gopdebates ,Negative
8955,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8956,only merchants of death could speak so callously god speed tedcruz gopdebates ,Negative
8957,puestoloco miamidecor cancel primaries fox pay set up amp anointed their man jeb bush gopdebates canttrustabush morningjoe ,Negative
8959,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8961,are we being punkd twitter has a field day with round 1 of the gopdebates ,Negative
8962,professorrobo to sta th evening rnc moderators dropped atom bomb on trump trump kicked it thru th uprights gopdebate gopdeba ,Positive
8963,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
8964,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8965,rwsurfergirl these debates will raise realdonaldtrump s ratings because fox news is afraid of trump and it shows gopdebate gopdeb ,Negative
8966,rwsurfergirl govchristie just got his ass served to him by randpaul gopdebates gopdebates ,Negative
8967,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8968,gopdebates the news media label themselves journalists even though not a single one of them can repo their way out of a wet paper sack ,Negative
8969,rwsurfergirl jeb bush reminds me of elevator music you hear it but you dont listen gopdebate gopdebates ,Negative
8970,jamiaw the purpose of the military is to kill people and break thingsmike huckabee gopdebates kkkorgop ,Negative
8971,chic4usa aaaand megynfail brings in dnc chair to take down trump thru womens rights my gender once again used as fear tool ugh go ,Negative
8972,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8973,rwsurfergirl why should realdonaldtrump pledge suppo to the gop when the establishment sold out to obama gopdebate gopdebates ,Negative
8974,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
8975,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8976,rwsurfergirl the candidates dont have to attack realdonaldtrump fox is doing it for them by stoping him from speaking gopdebate ,Negative
8978,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8979,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
8980,supermanhotmale i lived here in florida for 8 years under jeb w bush and i swear no more gopdebates ,Negative
8981,willbunch so sma of kasich to say essentially i hear the concerns of trump voters except that im sane gopdebates ,Negative
8982,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
8983,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8984,professorrobo to sta th evening rnc moderators dropped atom bomb on trump trump kicked it thru th uprights gopdebate gopdeba ,Negative
8985,i have no intention of voting for trump but love this guy brand and i wil give him credit for stirring things up summeroftrump gopdebates ,Positive
8986,dcordrey1 kelly is less credible now sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
8987,imho two dcoutsidersnonpoliticians trumped the gopdebates tonight realbencarson amp carlyfiorina tcot election2016 ,Positive
8988,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8989,willbunch so sma of kasich to say essentially i hear the concerns of trump voters except that im sane gopdebates ,Negative
8990,wilberforce91 one of my favorite things about the gopdebates is how many of these candidates ive seen in person thanks libeyu amp ,Positive
8991,rwsurfergirl id really like to see how long each candidate was given to speak it didnt seem fair amp balanced at all gopdebat ,Negative
8992,supermanhotmale i lived here in florida for 8 years under jeb w bush and i swear no more gopdebates ,Negative
8993,rwsurfergirl these debates will raise realdonaldtrump s ratings because fox news is afraid of trump and it shows gopdebate gopdeb ,Negative
8994,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8995,willbunch so sma of kasich to say essentially i hear the concerns of trump voters except that im sane gopdebates ,Negative
8996,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
8997,notdramadriven gopdebates scottwalker democrats cant even find one good candidate truthbomb ,Negative
8998,kelly is less credible now sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9000,msgoddessrises ftw ron you nailed it he came close to telling megyn to shut up trump gopdebates ,Negative
9001,to sta th evening rnc moderators dropped atom bomb on trump trump kicked it thru th uprights gopdebate gopdebates washingtonpost ,Negative
9003,to sta th evening rnc moderators dropped atom bomb on trump trump kicked it thru th uprights gopdebate gopdebates karenmonsour12 ,Negative
9004,kentpavelka three best performance in the gopdebates in no order imho carly fiorina amp ben carson amp marco rubio ,Positive
9005,willbunch so sma of kasich to say essentially i hear the concerns of trump voters except that im sane gopdebates ,Positive
9006,lindasuhler jeb stands by act of love comments and earned legal status boo noamnesty gopdebates ,Negative
9007,so sma of kasich to say essentially i hear the concerns of trump voters except that im sane gopdebates ,Negative
9008,gizmoolder nytimes trump2016 spoke more but said less in gopdebates ,Negative
9010,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9011,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9012,because gop is on the wrong side of all those issues gopdebates foxnews foxdebate ,Negative
9013,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9014,chic4usa aaaand megynfail brings in dnc chair to take down trump thru womens rights my gender once again used as fear tool ugh go ,Negative
9015,monaeltahawy seriously gop voters think god talks to presidential candidates christianbrotherhood gopdebates ,Negative
9016,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9017,raddmom if the gopdebates keep going like this i wont even bother going to the polls gop reince thats a promise gopdebate tr ,Negative
9018,in all seriousness johnkasich was the best in the debate tonight donaldtrump is just a joke gopdebates ,Positive
9019,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9020,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9021,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9022,if the gopdebates keep going like this i wont even bother going to the polls gop reince thats a promise gopdebate trumpcruz2016 ,Negative
9023,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9024,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
9025,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9026,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9027,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9028,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9029,aaaand megynfail brings in dnc chair to take down trump thru womens rights my gender once again used as fear tool ugh gopdebates ,Negative
9030,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9031,i really wish jonstewas last night wasnt on the same night as the gopdebates dick move fox jonvoyage ,Negative
9032,gallagherpreach it is just me or can anyone else not wait for snl this weekend for the debate coverage gopdebates gopdebate ,Positive
9034,sassyandcowgirl wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9035,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9036,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9037,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
9038,wtf is wrong with dwstweets her issues are not real issues her issues cause division and dont solve anything gopdebates tcot gop ,Negative
9039,deancameron how many famous people petulantly threatened to move to canada if one of the debaters won gopdebate gopdebates ,Negative
9040,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9041,rwsurfergirl it is very disappointing that fox news is not conducting a fair amp balanced debate gopdebate gopdebates ,Negative
9042,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9043,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
9045,trotalex sorry edhenry i was not offended by realdonaldtrump as a woman i was offended by megynkelly gopdebates kellyfile ,Negative
9046,gopdebates gop2016 plan on building up military and cut taxes how ya gonna pay for it bake sale steal more from ss ,Negative
9047,rwsurfergirl fox news is obviously trying to influence the makeup of the republican field gopdebate gopdebates ,Negative
9048,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9049,rwsurfergirl the candidates dont have to attack realdonaldtrump fox is doing it for them by stoping him from speaking gopdebate ,Negative
9050,supermanhotmale hey gopdebates ronald reagan has no relationship to you assholes he pardoned millions of mexican americans boom ,Negative
9051,supermanhotmale hey gopdebates ronald reagan has no relationship to you assholes he pardoned millions of mexican americans boom ,Negative
9052,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9053,i dont like him im not his friend im not gonna call him by his nickname its john bush not fucking jeb bush gopdebates enoughbush ,Negative
9054,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9055,b140tweet rip annrichards she has it right we needed her for president gopdebates stoprush ,Negative
9056,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
9057,foxdebates hates trump because he doesnt need koch money gopdebates ,Negative
9058,wth megynkelly do we really give a damn what dwstweets lies about gopdebates ,Negative
9059,salmasekela these self righteous hypocrites trying to out god each other shameless gopdebates ,Negative
9060,unseeingeyes in the gopdebates carlyfiorina amp realbencarson are the only two candidates id invite to my home for a great meal ,Positive
9061,mettemariek donald trump is eddiepepitones best character ever gopdebates ,Negative
9062,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
9063,rwsurfergirl is it just me or does anyone else want to punch chris wallace in the face gopdebate gopdebates ,Negative
9064,melissafwu kicking off our gopdebates watch pay with scarlett0hara leadright2016 ,Positive
9068,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9069,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9070,izacwright this happened not a single mention of votingrights on vra50 in tonights gopdebates ,Negative
9071,donniewahlberg enjoyed the gopdebates and am looking forward to the democraticdebates next ,Positive
9072,ericstonestreet trump has cam hands gopdebates ,Negative
9073,last thing to care about gopdebate gopdebates usa ,Negative
9077,kentpavelka three best performance in the gopdebates in no order imho carly fiorina amp ben carson amp marco rubio ,Positive
9078,the fact that jeb wont suppo his brothers decision to go iraq is not something i like you back your family gopdebates ,Negative
9079,monaeltahawy twitterland has god spoken to you about the gopdebates what did she say ,Negative
9080,monaeltahawy can someone send this to gopdebates blacklivesmatter ,Negative
9081,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9082,foxnewsmom im psychic gopdebates ,Negative
9083,rwsurfergirl im really really really pissed off at fox news for what they did to realdonaldtrump gopdebate gopdebates ,Negative
9084,izacwright this happened not a single mention of votingrights on vra50 in tonights gopdebates ,Negative
9085,315 hr learjet flight earlier dallas to monterrey california missed the gopdebates who shined lrihendry healthandcents jjauthor ,Negative
9086,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9087,nytopinion frankbruni the fact that moderators are attacking candidates shows it is not a debate but a large group interviewgopdebates ,Positive
9088,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9089,megynkelly stop whining about trumps comment to you you obviously set out to attack him amp got a little back deal with it gopdebates ,Negative
9090,samstwitch wow everybodys tweeting about foxnews megynkellys bad treatment of realdonaldtrump and gopdebates agreed ,Negative
9091,i didnt see a clear winner in the 900 gopdebates but several had some good moments ben carson ted cruz didnt think trump did well ,Positive
9092,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9094,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9095,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9096,bahahaaaaaaharwsurfergirl jeb bush reminds me of elevator music you hear it but you dont listen gopdebate gopdebates ,Negative
9097,katearonoff who hates women the most go gopdebates ,Negative
9098,has ted cruz never heard of anwar alawlaki and samir khan gopdebates foxdebate ,Negative
9099,nothing about civil rights police brutality nor gun reform either gopdebates berniesanders bernie2016 ,Negative
9100,it seems like ben carson did a good job but lacks the insights and depth of knowledge needed for a president gopdebates ,Negative
9101,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
9102,rwsurfergirl trump has got it right nobody would talk about immigration not untill be brought it up gopdebate gopdebates ,Positive
9103,rwsurfergirl we the american people pick the next president of united states not fox news gopdebate gopdebates ,Negative
